PARTICIPANT	SESSION_TIMESTAMP	TRIAL_N	CURRENT_TRIAL	TRIAL_TYPE	TRIAL_START_TIME	FIXATION_ONSET_TIME	STIM_ONSET_TIME	MASK_ONSET_TIME	RESPONSE_GIVEN_TIME	RT_REL_STIM_ONSET	RT_REL_MASK_ONSET	ACCURACY	TIMEOUT
S01_condB	2021-01-20 15:41:55	1	G	NON_BLINK	1611157322.6654227	1611157322.675423	1611157323.1344223	1611157323.3454204	1611157323.7594216	0.6249992847442627	0.4140012264251709	1	0
S01_condB	2021-01-20 15:41:55	2	G	NON_BLINK	1611157323.7594216	1611157323.766421	1611157324.2754729	1611157324.4844222	1611157324.727419	0.4519460201263428	0.2429966926574707	1	0
S01_condB	2021-01-20 15:41:55	3	G	NON_BLINK	1611157324.727419	1611157324.734455	1611157325.144419	1611157325.35142	1611157325.5664186	0.4219996929168701	0.21499872207641602	1	0
S01_condB	2021-01-20 15:41:55	4	NG	NON_BLINK	1611157325.5664186	1611157325.5734203	1611157326.0304186	1611157326.2385485	1611157327.2884228	1.2580041885375977	1.0498743057250977	1	1
S01_condB	2021-01-20 15:41:55	5	G	BLINK	1611157327.2884228	1611157329.3034203	1611157329.7114549	1611157329.9194217	1611157330.1704216	0.4589667320251465	0.25099992752075195	1	0
S01_condB	2021-01-20 15:41:55	6	G	NON_BLINK	1611157330.1704216	1611157330.178423	1611157330.7384198	1611157330.9474206	1611157331.1384192	0.39999938011169434	0.19099855422973633	1	0
S01_condB	2021-01-20 15:41:55	7	G	NON_BLINK	1611157331.1384192	1611157331.1454353	1611157331.6044202	1611157331.8154209	1611157332.0524235	0.44800329208374023	0.23700261116027832	1	0
S01_condB	2021-01-20 15:41:55	8	NG	NON_BLINK	1611157332.0524235	1611157332.0604198	1611157332.4735208	1611157332.6824331	1611157333.7324321	1.258911371231079	1.0499989986419678	1	1
S01_condB	2021-01-20 15:41:55	9	G	NON_BLINK	1611157333.7324321	1611157333.739432	1611157334.1974666	1611157334.405432	1611157334.6614316	0.46396493911743164	0.2559995651245117	1	0
S01_condB	2021-01-20 15:41:55	10	G	BLINK	1611157334.6614316	1611157336.6774306	1611157337.2864637	1611157337.4954283	1611157337.8404276	0.5539638996124268	0.3449993133544922	1	0
S01_condB	2021-01-20 15:41:55	11	G	NON_BLINK	1611157337.8414602	1611157337.848428	1611157338.4104288	1611157338.6214283	1611157338.8094273	0.398998498916626	0.18799901008605957	1	0
S01_condB	2021-01-20 15:41:55	12	G	NON_BLINK	1611157338.8094273	1611157338.816471	1611157339.2744615	1611157339.483457	1611157339.6734266	0.39896512031555176	0.18996953964233398	1	0
S01_condB	2021-01-20 15:41:55	13	NG	NON_BLINK	1611157339.6734266	1611157339.685427	1611157340.293427	1611157340.5024257	1611157341.5524247	1.2589976787567139	1.0499989986419678	1	1
S01_condB	2021-01-20 15:41:55	14	G	NON_BLINK	1611157341.5524247	1611157341.5604253	1611157342.019426	1611157342.2274258	1611157342.456425	0.4369988441467285	0.22899913787841797	1	0
S01_condB	2021-01-20 15:41:55	15	NG	BLINK	1611157342.456425	1611157344.478135	1611157344.9874237	1611157345.195424	1611157346.2454226	1.2579989433288574	1.0499985218048096	1	1
S01_condB	2021-01-20 15:41:55	16	G	NON_BLINK	1611157346.2454226	1611157346.2534225	1611157346.663422	1611157346.8714206	1611157347.141423	0.4780008792877197	0.2700023651123047	1	0
S01_condB	2021-01-20 15:41:55	17	G	NON_BLINK	1611157347.141423	1611157347.1494205	1611157347.7574205	1611157347.9664245	1611157348.160421	0.4030003547668457	0.19399642944335938	1	0
S01_condB	2021-01-20 15:41:55	18	G	NON_BLINK	1611157348.160421	1611157348.1684198	1611157348.6284227	1611157348.8374193	1611157349.0184193	0.3899965286254883	0.1809999942779541	1	0
S01_condB	2021-01-20 15:41:55	19	G	NON_BLINK	1611157349.0184193	1611157349.02642	1611157349.4354196	1611157349.64442	1611157349.8354175	0.3999979496002197	0.19099760055541992	1	0
S01_condB	2021-01-20 15:41:55	20	NG	BLINK	1611157349.8354175	1611157351.852438	1611157352.4614177	1611157352.6704175	1611157353.720415	1.2589974403381348	1.0499975681304932	1	1
S01_condB	2021-01-20 15:41:55	21	G	NON_BLINK	1611157353.720415	1611157353.7294154	1611157354.289416	1611157354.5024161	1611157354.7174351	0.42801904678344727	0.21501898765563965	1	0
S01_condB	2021-01-20 15:41:55	22	NG	NON_BLINK	1611157354.718437	1611157354.7254448	1611157355.285414	1611157355.5064144	1611157356.557414	1.2720000743865967	1.050999641418457	1	1
S01_condB	2021-01-20 15:41:55	23	NG	NON_BLINK	1611157356.557414	1611157356.568415	1611157357.078418	1611157357.2874136	1611157358.3374114	1.25899338722229	1.0499978065490723	1	1
S01_condB	2021-01-20 15:41:55	24	G	NON_BLINK	1611157358.3374114	1611157358.3454115	1611157358.953411	1611157359.1614127	1611157359.4774106	0.5239994525909424	0.315997838973999	1	0
S01_condB	2021-01-20 15:41:55	25	G	BLINK	1611157359.4774106	1611157361.4944093	1611157361.9034104	1611157362.1154096	1611157362.3624077	0.4589972496032715	0.24699807167053223	1	0
S01_condB	2021-01-20 15:41:55	26	G	NON_BLINK	1611157362.3624077	1611157362.3704088	1611157362.779409	1611157362.9974103	1611157363.2004077	0.42099881172180176	0.20299744606018066	1	0
S01_condB	2021-01-20 15:41:55	27	NG	NON_BLINK	1611157363.2004077	1611157363.2094085	1611157363.6174085	1611157363.830407	1611157364.880406	1.2629973888397217	1.0499989986419678	1	1
S01_condB	2021-01-20 15:41:55	28	NG	NON_BLINK	1611157364.880406	1611157364.889408	1611157365.348406	1611157365.558406	1611157366.6084058	1.2599997520446777	1.049999713897705	1	1
S01_condB	2021-01-20 15:41:55	29	G	NON_BLINK	1611157366.6084058	1611157366.6184075	1611157367.1784256	1611157367.3864043	1611157367.7014058	0.5229802131652832	0.3150014877319336	1	0
S01_condB	2021-01-20 15:41:55	30	G	BLINK	1611157367.7014058	1611157369.7174034	1611157370.176424	1611157370.3864057	1611157370.6604018	0.4839777946472168	0.27399611473083496	1	0
