Unnamed: 0,Trial,T1,T2,Lag,PosT1,PosT2,Respuesta T1,Respuesta T2,Correcto T1,Correcto T2,Reaction Time T1,Reaction Time T2,condition,group
78,79,3,2,6,6,1,3,2,1,1,1.165797600056976,0.2581524000270292,a,psilo
79,80,4,9,6,9,3,4,9,1,1,1.3898051000433045,0.7257053999928758,a,psilo
80,81,2,7,7,9,1,2,7,1,1,1.1656852999003604,0.5595484999939799,a,psilo
81,82,7,2,6,6,3,7,2,1,1,1.155748599907383,0.5784497000277042,a,psilo
82,83,7,8,3,9,1,7,8,1,1,1.1000052000163123,0.169369800016284,a,psilo
83,84,4,2,4,9,1,4,2,1,1,1.7087472999701276,0.2793126999167725,a,psilo
84,85,6,4,3,9,3,6,4,1,1,1.1590622999938205,0.3615070000523701,a,psilo
85,86,8,7,3,6,3,8,7,1,1,0.8674181000096723,0.5447245999239385,a,psilo
86,87,2,4,4,6,3,2,4,1,1,1.066793299978599,0.3657249000389129,a,psilo
87,88,9,4,2,6,1,4,9,0,0,1.4747307000216097,1.3923983999993652,a,psilo
88,89,6,4,7,9,3,6,4,1,1,1.122183500090614,0.3642198999878019,a,psilo
89,90,2,6,7,6,3,2,6,1,1,1.1517064999789,0.7481301999650896,a,psilo
90,91,4,9,6,9,1,4,9,1,1,1.3083085000980643,0.7019908999791369,a,psilo
91,92,6,4,5,9,1,6,4,1,1,1.1506786999525502,0.2889398999977857,a,psilo
92,93,6,9,2,9,3,6,9,1,1,1.109155699959956,0.6021688999608159,a,psilo
93,94,8,6,2,6,1,8,2,1,0,1.6281532000284642,0.5195044000865892,a,psilo
94,95,3,7,1,6,1,3,7,1,1,1.783980300067924,0.5189558999845758,a,psilo
95,96,7,5,3,9,3,7,5,1,1,1.0800375000108031,0.3514566000085324,a,psilo
96,97,2,9,1,9,3,2,9,1,1,1.1841374000068754,0.6917585999472067,a,psilo
97,98,9,5,6,6,3,9,5,1,1,1.1271896999096498,0.5707172000547871,a,psilo
98,99,3,6,6,9,1,3,6,1,1,1.2711325000273064,0.461242499994114,a,psilo
99,100,5,9,2,9,1,5,9,1,1,1.4143681999994442,0.5550743999192491,a,psilo
100,101,8,2,5,9,1,8,2,1,1,1.0103142999578267,0.537999700056389,a,psilo
101,102,8,9,6,6,1,8,9,1,1,1.8098211999749765,0.904226699960418,a,psilo
102,103,3,7,2,6,3,3,4,1,0,2.269530000048689,0.6154240000760183,a,psilo
103,104,4,2,7,6,1,4,2,1,1,1.0861451999517158,0.3568332999711856,a,psilo
104,105,5,6,3,6,3,5,6,1,1,1.1360385000007227,0.2225252999924123,a,psilo
105,106,6,3,3,9,1,6,3,1,1,1.147235699929297,0.3744012999814003,a,psilo
106,107,4,8,2,9,1,2,8,0,1,1.5908140999963507,0.6251778999576345,a,psilo
107,108,2,4,7,9,1,2,4,1,1,1.354218199965544,0.3529126000357792,a,psilo
108,109,3,7,1,6,3,3,7,1,1,1.192749400041066,0.5365623999387026,a,psilo
109,110,9,3,1,6,3,9,3,1,1,1.337145400000736,0.515243100002408,a,psilo
110,111,8,5,7,6,3,8,5,1,1,1.0698108000215143,0.3507764999521896,a,psilo
111,112,3,7,5,6,3,3,7,1,1,1.1192679000087082,0.2518544000340625,a,psilo
112,113,3,2,2,9,3,3,2,1,1,0.9764349999604748,0.1799608999863267,a,psilo
