Unnamed: 0,Trial,T1,T2,Lag,PosT1,PosT2,Respuesta T1,Respuesta T2,Correcto T1,Correcto T2,Reaction Time T1,Reaction Time T2,condition,group
125,126,6,3,6,6,1,8,3,0,1,0.7081180999957724,0.2887767999927746,a,placebo
126,127,5,2,1,6,3,8,5,0,0,2.441001300001517,0.6800533000059659,a,placebo
127,128,8,3,5,6,1,8,3,1,1,0.7282451000064611,0.2486462000088067,a,placebo
128,129,2,6,1,6,3,2,8,1,0,0.5154494000016712,0.3430971000052523,a,placebo
129,130,7,5,2,6,1,7,5,1,1,0.7781882999988738,0.3844190999952843,a,placebo
130,131,6,8,4,9,3,6,8,1,1,1.798154499992961,0.4738501000101678,a,placebo
131,132,7,6,2,6,1,7,6,1,1,0.8980088999960572,0.2490122000017436,a,placebo
132,133,5,9,1,6,1,5,9,1,1,0.8703615999984322,0.2437101999967126,a,placebo
133,134,3,7,3,9,3,3,7,1,1,0.6352794999984326,0.2739126999949803,a,placebo
134,135,3,8,5,9,1,3,8,1,1,0.8402558999950998,0.2839364000101341,a,placebo
135,136,9,3,3,9,1,9,3,1,1,0.8067843000026187,0.3991797999915434,a,placebo
136,137,5,4,6,9,3,5,4,1,1,0.7072076000040397,0.278704900003504,a,placebo
137,138,4,7,3,6,1,4,7,1,1,0.629007299998193,0.2939531000010902,a,placebo
138,139,4,6,2,9,1,4,6,1,1,0.6877298999897903,0.3137070999946445,a,placebo
139,140,3,6,3,6,1,3,6,1,1,0.6911896000092383,0.3550889999896753,a,placebo
0,1,2,5,1,6,3,2,5,1,1,1.3575606001541018,0.720326199894771,b,placebo
1,2,6,7,7,6,3,6,7,1,1,1.2223505999427289,0.3149838999379426,b,placebo
2,3,5,3,4,6,3,5,3,1,1,1.0411135000176728,0.7653876000549644,b,placebo
3,4,8,2,1,6,1,8,2,1,1,1.7322225000243634,0.3888975998852402,b,placebo
4,5,4,6,3,9,1,3,6,0,1,1.2021018001250925,0.9425478000193834,b,placebo
5,6,5,8,3,9,3,5,8,1,1,1.390245100017637,0.3190232999622822,b,placebo
6,7,3,6,3,6,1,3,6,1,1,1.308825500076637,0.8468456999398768,b,placebo
7,8,7,2,3,9,1,7,2,1,1,1.0606859000399709,0.5095406000036746,b,placebo
8,9,6,9,6,9,1,6,9,1,1,1.5754184999968857,0.3692630000878125,b,placebo
9,10,5,7,5,9,3,5,7,1,1,1.0765154000837356,0.2134433998726308,b,placebo
10,11,9,3,4,9,3,9,3,1,1,0.9163142999168484,0.4461990999989211,b,placebo
11,12,4,8,3,6,3,4,8,1,1,1.0837795999832451,0.4545750999823212,b,placebo
12,13,6,9,3,9,1,6,9,1,1,1.740853999974206,0.1684884000569582,b,placebo
13,14,3,6,7,9,3,3,6,1,1,1.0869438999798149,0.6193395999725908,b,placebo
14,15,3,6,3,9,1,3,6,1,1,1.1842577999923378,0.5804038001224399,b,placebo
15,16,7,2,6,9,3,3,2,0,1,1.328169799875468,0.2939184999559074,b,placebo
16,17,4,5,3,6,3,4,5,1,1,0.936399599770084,0.2437670999206602,b,placebo
17,18,2,6,6,6,1,2,6,1,1,1.0803445999044925,0.3292930999305099,b,placebo
18,19,9,4,4,6,3,9,4,1,1,1.1502264000009743,0.4896833000238985,b,placebo
19,20,2,3,7,6,1,2,3,1,1,1.0379358001518997,0.2839011999312788,b,placebo
20,21,7,6,1,9,3,3,6,0,1,1.4183210998307914,0.464535899925977,b,placebo
21,22,8,3,2,6,3,8,3,1,1,1.03929500002414,0.5086383998859674,b,placebo
22,23,9,8,5,9,1,9,3,1,0,1.675709100207314,0.4190247999504208,b,placebo
23,24,8,9,7,9,1,8,9,1,1,1.0146711000707,0.2289591999724507,b,placebo
24,25,3,9,1,6,1,3,9,1,1,1.496739499969408,0.519754699897021,b,placebo
25,26,7,8,1,9,3,2,7,0,0,1.9497854001820087,0.3497136000078171,b,placebo
26,27,9,5,4,6,1,9,5,1,1,1.486633000196889,0.3995967998635024,b,placebo
27,28,3,8,4,6,1,3,8,1,1,1.6203729999251664,0.3829312000889331,b,placebo
28,29,7,2,2,6,3,7,2,1,1,1.173236500006169,0.5647803999017924,b,placebo
29,30,7,3,1,6,3,7,3,1,1,1.2807964000385257,0.4838884999044239,b,placebo
30,31,5,8,4,6,1,5,8,1,1,1.3363049998879433,0.8057300001382828,b,placebo
31,32,7,9,3,6,1,7,9,1,1,0.9071563999168576,0.8005886001046747,b,placebo
32,33,4,6,1,9,3,4,6,1,1,1.105899199843407,1.2824302001390606,b,placebo
33,34,5,3,7,6,1,5,3,1,1,1.024243500083685,0.4692440000362694,b,placebo
34,35,2,6,7,9,1,2,6,1,1,1.2040534999687225,1.1576066999696195,b,placebo
35,36,7,9,4,6,3,7,9,1,1,0.85281280009076,0.9963135998696088,b,placebo
36,37,5,9,4,9,1,5,9,1,1,1.2381078000180423,0.7805180000141263,b,placebo
37,38,6,9,5,6,3,6,9,1,1,1.0264554000459611,0.6300713000819087,b,placebo
38,39,7,3,7,6,1,7,3,1,1,1.2960598999634385,0.6451035998761654,b,placebo
39,40,4,9,6,9,1,4,9,1,1,1.1883812001906335,0.6045875998679549,b,placebo
40,41,7,8,7,9,1,7,8,1,1,1.123995600035414,0.7504843000788242,b,placebo
41,42,2,3,2,9,3,2,3,1,1,1.017675400013104,0.2734332999680191,b,placebo
42,43,5,2,6,6,1,5,2,1,1,1.0124118998646736,0.6955388002097607,b,placebo
43,44,7,8,5,6,3,7,8,1,1,0.8381126001477242,0.6046865999232978,b,placebo
44,45,3,7,7,6,3,3,7,1,1,1.1987337998580188,0.8107515000738204,b,placebo
